Coin Name,Ticker,X-Spot-Id,X-Post-Id,Conversation Id
Lido DAO,LDO-USD,sp_Rba9aFpG,finmb$LDO$CCC,sp_Rba9aFpG_finmb$LDO$CCC
Filecoin,FIL-USD,sp_Rba9aFpG,finmb$FIL$CCC,sp_Rba9aFpG_finmb$FIL$CCC
Hedera,HBAR-USD,sp_Rba9aFpG,finmb$HBAR$CCC,sp_Rba9aFpG_finmb$HBAR$CCC
Aptos,APT-USD,sp_Rba9aFpG,finmb$APT$CCC,sp_Rba9aFpG_finmb$APT$CCC
Internet Computer,ICP-USD,sp_Rba9aFpG,finmb$ICP$CCC,sp_Rba9aFpG_finmb$ICP$CCC
NEAR Protocol,NEAR-USD,sp_Rba9aFpG,finmb$NEAR$CCC,sp_Rba9aFpG_finmb$NEAR$CCC
BUSD,BUSD-USD,sp_Rba9aFpG,finmb$BUSD$CCC,sp_Rba9aFpG_finmb$BUSD$CCC
THORChain,RUNE-USD,sp_Rba9aFpG,finmb$RUNE$CCC,sp_Rba9aFpG_finmb$RUNE$CCC
Optimism,OP-USD,sp_Rba9aFpG,finmb$OP$CCC,sp_Rba9aFpG_finmb$OP$CCC
VeChain,VET-USD,sp_Rba9aFpG,finmb$VET$CCC,sp_Rba9aFpG_finmb$VET$CCC
Mantle,MNT-USD,sp_Rba9aFpG,finmb$MNT$CCC,sp_Rba9aFpG_finmb$MNT$CCC
Quant,QNT-USD,sp_Rba9aFpG,finmb$QNT$CCC,sp_Rba9aFpG_finmb$QNT$CCC
Aave,AAVE-USD,sp_Rba9aFpG,finmb$AAVE$CCC,sp_Rba9aFpG_finmb$AAVE$CCC
Maker,MKR-USD,sp_Rba9aFpG,finmb$MKR$CCC,sp_Rba9aFpG_finmb$MKR$CCC
Injective,INJ-USD,sp_Rba9aFpG,finmb$INJ$CCC,sp_Rba9aFpG_finmb$INJ$CCC
Arbitrum,ARB-USD,sp_Rba9aFpG,finmb$ARB$CCC,sp_Rba9aFpG_finmb$ARB$CCC
Render,RNDR-USD,sp_Rba9aFpG,finmb$RNDR$CCC,sp_Rba9aFpG_finmb$RNDR$CCC
Rocket Pool ETH,RETH-USD,sp_Rba9aFpG,finmb$RETH$CCC,sp_Rba9aFpG_finmb$RETH$CCC
Synthetix Network,SNX-USD,sp_Rba9aFpG,finmb$SNX$CCC,sp_Rba9aFpG_finmb$SNX$CCC
MultiversX,EGLD-USD,sp_Rba9aFpG,finmb$EGLD$CCC,sp_Rba9aFpG_finmb$EGLD$CCC
Algorand,ALGO-USD,sp_Rba9aFpG,finmb$ALGO$CCC,sp_Rba9aFpG_finmb$ALGO$CCC
Flow,FLOW-USD,sp_Rba9aFpG,finmb$FLOW$CCC,sp_Rba9aFpG_finmb$FLOW$CCC
Theta Network,THETA-USD,sp_Rba9aFpG,finmb$THETA$CCC,sp_Rba9aFpG_finmb$THETA$CCC
Bitcoin SV,BSV-USD,sp_Rba9aFpG,finmb$BSV$CCC,sp_Rba9aFpG_finmb$BSV$CCC
Stacks,STX-USD,sp_Rba9aFpG,finmb$STX$CCC,sp_Rba9aFpG_finmb$STX$CCC
Fantom,FTM-USD,sp_Rba9aFpG,finmb$FTM$CCC,sp_Rba9aFpG_finmb$FTM$CCC
